Objects
100
,,Global Angle 111:111,,,,,,Global Angle 222:222,,,,,,Global Angle SIngleMarker:SIngleMarker,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
113,0,2.58778,1.69243,-1.5402,-262.662,133.477,714.826,-0.163247,0.317414,-1.34483,-270.652,98.8605,828.272,-0.178549,1.5859,0.163483,-206.794,125.269,709.269
114,0,2.5882,1.69306,-1.54028,-262.634,133.496,714.837,-0.159738,0.317289,-1.34434,-270.612,98.8343,828.195,-0.179023,1.58605,0.163467,-206.789,125.277,709.294
115,0,2.58798,1.69255,-1.53963,-262.671,133.492,714.808,-0.16357,0.316884,-1.34474,-270.687,98.8824,828.277,-0.179059,1.58581,0.163528,-206.813,125.276,709.277
116,0,2.58899,1.69259,-1.5397,-262.651,133.536,714.772,-0.163337,0.317194,-1.34496,-270.689,98.8733,828.263,-0.178777,1.58611,0.163488,-206.834,125.278,709.247
117,0,2.58888,1.69252,-1.5404,-262.684,133.536,714.769,-0.163383,0.317609,-1.34491,-270.677,98.8594,828.243,-0.178405,1.58606,0.163655,-206.865,125.277,709.219
118,0,2.58895,1.69265,-1.54064,-262.73,133.51,714.747,-0.163556,0.318207,-1.34483,-270.66,98.8306,828.206,-0.177977,1.58636,0.163949,-206.899,125.266,709.165
119,0,2.54006,1.69811,-1.58778,-262.981,133.077,714.531,-0.163255,0.318462,-1.34489,-270.657,98.8106,828.162,-0.177649,1.5865,0.164014,-206.918,125.272,709.108
120,0,2.53145,1.67906,-1.62071,-262.97,132.914,714.688,-0.163457,0.318702,-1.34481,-270.653,98.7885,828.119,-0.177576,1.58632,0.163894,-206.921,125.253,709.061
121,0,2.52814,1.66393,-1.64267,-262.94,132.895,714.799,-0.163452,0.318363,-1.34497,-270.653,98.7717,828.106,-0.177782,1.58627,0.163641,-206.9,125.223,709.053
122,0,2.52622,1.65915,-1.6479,-262.962,132.812,714.816,-0.163437,0.318196,-1.34495,-270.652,98.7681,828.085,-0.177847,1.58638,0.163461,-206.875,125.182,709.034
123,0,2.52571,1.65608,-1.64993,-262.952,132.78,714.826,-0.163758,0.317752,-1.34516,-270.65,98.7724,828.069,-0.17813,1.58618,0.16296,-206.867,125.133,709.016
124,0,2.52293,1.65887,-1.64875,-262.969,132.727,714.791,-0.163927,0.317689,-1.34525,-270.646,98.7729,828.07,-0.178604,1.58648,0.162636,-206.874,125.104,708.997
125,0,2.52333,1.6566,-1.65225,-262.973,132.71,714.82,-0.163902,0.317954,-1.34542,-270.638,98.7488,828.073,-0.177946,1.58646,0.162827,-206.89,125.09,708.993
126,0,2.52341,1.6565,-1.65408,-262.986,132.727,714.807,-0.164776,0.318509,-1.34533,-270.613,98.7107,828.074,-0.177418,1.58673,0.163122,-206.911,125.096,708.978
127,0,2.49907,1.69373,-1.67585,-263.271,132.042,715.333,-0.164483,0.318985,-1.34533,-270.602,98.6746,828.054,-0.176905,1.58675,0.163455,-206.924,125.115,708.957
128,0,2.49667,1.69247,-1.67888,-263.299,132.022,715.371,-0.163487,0.319243,-1.34549,-270.593,98.6694,828.056,-0.176692,1.58709,0.163549,-206.916,125.129,708.96
129,0,2.49935,1.69386,-1.67529,-263.244,132.066,715.351,-0.163373,0.31931,-1.34554,-270.594,98.6822,828.064,-0.176827,1.58682,0.163532,-206.906,125.143,708.967
130,0,2.49689,1.69267,-1.67721,-263.274,132.036,715.355,-0.164412,0.319065,-1.34532,-270.602,98.6871,828.085,-0.176797,1.58685,0.163334,-206.897,125.131,708.978
131,0,2.49721,1.69401,-1.67628,-263.253,132.026,715.388,-0.159876,0.318753,-1.34527,-270.549,98.6637,828.016,-0.177279,1.5867,0.163218,-206.89,125.121,709.022
132,0,2.49652,1.69172,-1.67705,-263.269,131.999,715.456,-0.163512,0.318279,-1.34553,-270.619,98.7066,828.162,-0.177707,1.58676,0.16337,-206.877,125.11,709.084
133,0,2.50074,1.69252,-1.67412,-263.207,132.047,715.495,-0.159702,0.318155,-1.34537,-270.569,98.6737,828.093,-0.177582,1.58628,0.163024,-206.837,125.115,709.134
134,0,2.50155,1.6917,-1.67382,-263.197,132.081,715.497,-0.162988,0.318073,-1.3459,-270.64,98.698,828.195,-0.177167,1.58651,0.163036,-206.809,125.122,709.162
135,0,2.50222,1.68968,-1.67495,-263.193,132.073,715.539,-0.15921,0.318438,-1.34563,-270.574,98.6387,828.119,-0.173439,1.58479,0.16123,-206.731,125.129,709.243
136,0,2.59279,1.69163,-1.54013,-262.628,133.438,714.771,-0.158995,0.318579,-1.34569,-270.574,98.6307,828.133,-0.176235,1.58607,0.163249,-206.798,125.118,709.218
137,0,2.5928,1.6917,-1.5408,-262.699,133.401,714.775,-0.159215,0.318993,-1.34587,-270.587,98.6337,828.128,-0.172771,1.58513,0.161419,-206.802,125.119,709.252
138,0,2.5912,1.69146,-1.54197,-262.769,133.396,714.772,-0.163359,0.318768,-1.34602,-270.644,98.6912,828.237,-0.176343,1.58667,0.163121,-206.879,125.117,709.175
